word,stem
inabutan,abot
umabot,abot
maagang,aga
makaahon,ahon
maakyatang,akyat
maakyat,akyat
umakyat,akyat
paalala,alaala
naalala,alaala
alagang,alaga
inalagaan,alaga
pagaalaga,alaga
magalala,alala
nagaalala,alala
nagalala,alala
malaman,alam
nalaman,alam
alamin,alam
inialay,alay
umalis,alis
pag-alis,alis
magalis,alis
nagsialis,alis
magaliw,aliw
pag-andar,andar
angatin,angat
inaangkin,angkin
naaaninag,aninag
naaninag,aninag
inaantok,antok
inanyayahan,anyaya
ikaapat,apat
pangapat,apat
umapaw,apaw
pinag-aaralan,aral
arawaraw,araw
naaarawan,araw
ariarian,ari
maaaring,aring
nagasawa,asawa
asawang,asawa
mag-asawa,asawa
asong,aso
umatras,atras
awangawa,awa
naawa,awa
pagmamakaawa,awa
nagaaway,away
inayang,aya
ayokong,ayoko
bumaba,baba
mababa,baba
bumabang,baba
ibabaw,babaw
kaybagal,bagal
bagong,bago
nagbago,bago
pagbabago,bago
panibagong,bago
pagbagsak,bagsak
mabagsik,bagsik
babaha,baha
bahaging,bahagi
bahagyang,bahagya
bahaybahay,bahay
kabahayan,bahay
mababait,bait
magbabakasyon,bakasyon
mabalahibong,balahibo
ibalik,balik
magbalik,balik
makabalik,balik
ibinalita,balita
namamaluktot,baluktot
bango-bango,bango
nakabantay,bantay
pagbabantay,bantay
ibaon,baon
tagabaryo,baryo
nagbasa,basa
basang-basang,basa
binabasa,basa
basong,baso
batang,bata
nababawasan,bawas
nabawasan,bawas
nabawi,bawi
pagbabayaran,bayad
magbabayad,bayad
makabayad,bayad
mababayaran,bayad
magbayad,bayad
bigyan,bigay
binigyan,bigay
ibibigay,bigay
magbibigay,bigay
maibigay,bigay
ipinabibigay,bigay
biglang,bigla
biglang-biglang,bigla
pambihira,bihira
pambihirang,bihira
nakabihis,bihis
bumilang,bilang
ibinilanggo,bilanggo
mabili,bili
bibilhin,bili
napagbilhan,bili
naibili,bili
nakabili,bili
naipagbili,bili
bumili,bili
bibili,bili
mabilis,bilis
bilis-bilis,bilis
mabilog,bilog
pabirobiro,biro
bisyo,bisyo
naglalambitin,bitin
bituing,bituin
kabiyak,biyak
ibuga,buga
mabubuhay,buhay
bumuhos,buhos
binuksan,bukas
kinabukasan,bukas
bukirin,bukid
nabulok,bulok
mamumunga,bunga
mamunga,bunga
bunsong,bunso
buong,buo
kabuuang,buo
kabuuan,buo
bumubusina,busina
